WARN   | wrapper  | 2013/01/11 11:17:04 |   The directory does not exist.
WARN   | wrapper  | 2013/01/11 11:17:04 | Unable to write to the configured log file: /home/ruihu/elasticsearch/logs/service.log (No such file or directory)
WARN   | wrapper  | 2013/01/11 11:17:04 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2013/01/11 11:17:04 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/01/11 11:17:04 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2013/01/11 11:17:04 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/01/11 11:17:04 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/01/11 11:17:04 | 
STATUS | wrapper  | 2013/01/11 11:17:05 | Launching a JVM...
INFO   | jvm 1    | 2013/01/11 11:17:05 | WrapperManager: Initializing...
STATUS | wrapper  | 2013/01/11 11:19:50 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2013/01/11 11:19:51 | <-- Wrapper Stopped
WARN   | wrapper  | 2013/01/11 11:20:27 | Unable to write to the configured log directory: /home/ruihu/elasticsearch/logs (No such file or directory)
WARN   | wrapper  | 2013/01/11 11:20:27 |   The directory does not exist.
WARN   | wrapper  | 2013/01/11 11:20:27 | Unable to write to the configured log file: /home/ruihu/elasticsearch/logs/service.log (No such file or directory)
WARN   | wrapper  | 2013/01/11 11:20:27 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2013/01/11 11:20:27 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/01/11 11:20:27 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2013/01/11 11:20:27 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/01/11 11:20:27 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/01/11 11:20:27 | 
STATUS | wrapper  | 2013/01/11 11:20:27 | Launching a JVM...
INFO   | jvm 1    | 2013/01/11 11:20:27 | WrapperManager: Initializing...
STATUS | wrapper  | 2013/01/11 18:07:25 | TERM trapped.  Shutting down.
WARN   | wrapper  | 2013/01/11 18:07:27 | JVM exited unexpectedly while stopping the application.
WARN   | wrapper  | 2013/01/11 18:25:13 | Unable to write to the configured log directory: /home/ruihu/data-store/elasticsearch/logs (No such file or directory)
WARN   | wrapper  | 2013/01/11 18:25:13 |   The directory does not exist.
WARN   | wrapper  | 2013/01/11 18:25:13 | Unable to write to the configured log file: /home/ruihu/data-store/elasticsearch/logs/service.log (No such file or directory)
WARN   | wrapper  | 2013/01/11 18:25:13 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2013/01/11 18:25:13 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/01/11 18:25:13 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2013/01/11 18:25:13 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/01/11 18:25:13 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/01/11 18:25:13 | 
STATUS | wrapper  | 2013/01/11 18:25:14 | Launching a JVM...
INFO   | jvm 1    | 2013/01/11 18:25:14 | WrapperManager: Initializing...
